time_dim_id,date_value,date_year,date_month,date_day,date_weekday,date_hour
503,2015-01-22 08:00:00,2015,1,22,4,8
504,2015-01-22 09:00:00,2015,1,22,4,9
505,2015-01-22 10:00:00,2015,1,22,4,10
506,2015-01-22 11:00:00,2015,1,22,4,11
507,2015-01-22 12:00:00,2015,1,22,4,12
508,2015-01-22 13:00:00,2015,1,22,4,13
509,2015-01-22 14:00:00,2015,1,22,4,14
510,2015-01-22 15:00:00,2015,1,22,4,15
511,2015-01-22 16:00:00,2015,1,22,4,16
512,2015-01-22 17:00:00,2015,1,22,4,17
513,2015-01-22 18:00:00,2015,1,22,4,18
514,2015-01-22 19:00:00,2015,1,22,4,19
515,2015-01-22 20:00:00,2015,1,22,4,20
516,2015-01-22 21:00:00,2015,1,22,4,21
517,2015-01-22 22:00:00,2015,1,22,4,22
518,2015-01-22 23:00:00,2015,1,22,4,23
519,2015-01-23 00:00:00,2015,1,23,5,0
520,2015-01-23 01:00:00,2015,1,23,5,1
521,2015-01-23 02:00:00,2015,1,23,5,2
522,2015-01-23 03:00:00,2015,1,23,5,3
523,2015-01-23 04:00:00,2015,1,23,5,4
524,2015-01-23 05:00:00,2015,1,23,5,5
525,2015-01-23 06:00:00,2015,1,23,5,6
526,2015-01-23 07:00:00,2015,1,23,5,7
527,2015-01-23 08:00:00,2015,1,23,5,8
528,2015-01-23 09:00:00,2015,1,23,5,9
529,2015-01-23 10:00:00,2015,1,23,5,10
530,2015-01-23 11:00:00,2015,1,23,5,11
